region_id,median_mortgage,average_household_size,median_household_income,percent_female_earner,percent_no_internet,percent_unemployment,percent_public_transport,percent_born_managers
304031092,2300.0,2.8,2226.0,0.1,13.2,3.5,0.25,0.17
304031093,2102.0,2.5,1508.0,0.14,13.9,4.9,0.27,0.13
304031094,2167.0,2.5,1670.0,0.08,17.7,6.7,0.3,0.12
304031095,2210.0,2.5,1728.0,0.13,15.6,4.1,0.29,0.13
304031096,2134.0,2.5,1314.0,0.07,16.1,14.0,0.25,0.09
304031097,2015.0,2.2,1490.0,0.09,17.2,6.6,0.31,0.1
304041098,2000.0,2.3,1393.0,0.19,17.8,3.8,0.21,0.12
304041099,2500.0,2.3,1783.0,0.3,0.0,0.0,0.0,0.0
304041100,2000.0,2.4,1147.0,0.21,17.4,5.3,0.24,0.09
304041101,2236.0,2.6,1611.0,0.14,16.5,3.8,0.25,0.12
304041102,0.0,0.0,0.0,,0.0,0.0,,
304041103,2100.0,2.9,1931.0,0.08,13.5,4.3,0.17,0.15
304041104,1950.0,3.0,1927.0,0.06,14.0,4.2,0.22,0.12
305011105,2500.0,2.0,1890.0,0.06,15.9,6.7,0.15,0.16
305011106,2179.0,1.8,1646.0,0.09,18.5,5.2,0.24,0.14
305011107,2000.0,2.3,1397.0,0.13,20.8,7.0,0.22,0.11
305011108,2167.0,1.9,1676.0,0.11,17.2,5.2,0.13,0.16
305011109,2200.0,1.9,1590.0,0.14,16.8,4.4,0.24,0.16
305011110,2280.0,2.1,1619.0,0.08,18.5,8.9,0.24,0.14
305011111,2058.0,2.0,1629.0,0.11,15.2,7.9,0.14,0.12
305011112,2600.0,2.2,1482.0,0.13,21.1,7.0,0.26,0.13
305021113,2513.0,2.5,2020.0,0.12,15.3,3.3,0.15,0.16
305021114,2574.0,2.5,2409.0,0.1,14.4,3.7,0.11,0.2
305021115,2167.0,2.3,1488.0,0.13,19.4,5.3,0.21,0.13
305021116,2557.0,2.6,2088.0,0.08,14.3,4.0,0.1,0.18
305021117,2275.0,2.3,1719.0,0.14,17.5,4.0,0.22,0.14
305021118,2383.0,2.6,2092.0,0.08,17.3,3.7,0.21,0.18
305031119,2104.0,2.1,1496.0,0.15,20.4,5.0,0.26,0.14
305031120,2139.0,2.4,1766.0,0.13,18.6,4.3,0.27,0.14
305031121,2500.0,2.3,1694.0,0.14,15.0,4.4,0.18,0.16
305031122,2167.0,2.2,1527.0,0.13,14.9,3.8,0.26,0.14
305031123,2375.0,2.7,2095.0,0.12,16.7,3.9,0.21,0.15
305031124,2600.0,2.2,1887.0,0.12,12.6,4.0,0.16,0.2
305031125,2427.0,2.6,1900.0,0.12,16.3,3.7,0.16,0.19
305031126,2100.0,2.3,1408.0,0.11,18.6,7.4,0.26,0.11
305031127,2232.0,2.4,1569.0,0.14,15.6,5.0,0.29,0.12
305031128,2445.0,1.9,2151.0,0.07,18.1,3.5,0.27,0.19
305031129,2167.0,2.7,2044.0,0.1,15.4,3.3,0.21,0.15
305031130,2383.0,2.3,1641.0,0.15,20.6,4.8,0.29,0.13
305031131,2167.0,2.3,1610.0,0.14,17.1,4.8,0.29,0.13
305041132,2334.0,2.7,2048.0,0.11,14.2,4.1,0.18,0.15
305041133,2184.0,2.3,1783.0,0.08,16.8,4.9,0.3,0.12
305041134,2400.0,2.7,2272.0,0.09,13.9,3.7,0.18,0.16
305041135,2496.0,2.3,1995.0,0.1,17.2,3.8,0.22,0.15
305041136,2500.0,2.4,1882.0,0.1,18.3,4.8,0.19,0.14
305041137,2167.0,2.3,1614.0,0.08,19.7,5.9,0.31,0.11
306011138,1907.0,2.9,1616.0,0.09,18.9,3.9,0.02,0.13
306011139,1950.0,2.5,1305.0,0.11,17.0,5.5,0.03,0.14
306011140,1634.0,2.4,1336.0,0.12,16.3,4.5,0.03,0.13
306011141,1950.0,2.9,1579.0,0.08,17.9,4.1,0.01,0.12
306011142,1937.0,2.5,1227.0,0.12,18.2,6.2,0.03,0.11
306011143,1517.0,2.1,986.0,0.17,20.6,7.5,0.03,0.11
306021144,1842.0,3.1,1375.0,0.13,16.4,6.5,0.02,0.1
306021145,1733.0,1.9,989.0,0.18,18.1,9.6,0.03,0.12
